"common.name","scientific.name","frequency"
"Snow Bunting","Plectrophenax nivalis",0.65
"Tennessee Warbler","Leiothlypis peregrina",0.58
"American Pipit","Anthus rubescens",0.55
"Cape May Warbler","Setophaga tigrina",0.54
"White-crowned Sparrow","Zonotrichia leucophrys",0.54
"American Woodcock","Scolopax minor",0.53
"American Bittern","Botaurus lentiginosus",0.5
"Green-winged Teal","Anas crecca",0.5
"Baltimore Oriole","Icterus galbula",0.49
"Chimney Swift","Chaetura pelagica",0.49
"Snowy Owl","Bubo scandiacus",0.49
"Brown-headed Cowbird","Molothrus ater",0.47
"Great/Double-crested Cormorant","Phalacrocorax carbo/Nannopterum auritum",0.47
"Great Egret","Ardea alba",0.46
"peep sp.","Calidris sp. (peep sp.)",0.46
"Wilson's Warbler","Cardellina pusilla",0.45
"House Finch","Haemorhous mexicanus",0.43
"Eastern Bluebird","Sialia sialis",0.42
"Killdeer","Charadrius vociferus",0.4
"Sanderling","Calidris alba",0.39
"Wilson's Storm-Petrel","Oceanites oceanicus",0.39
"Lincoln's Sparrow","Melospiza lincolnii",0.37
"Common Murre","Uria aalge",0.36
"new world sparrow sp.","Passerellidae sp.",0.35
"Downy/Hairy Woodpecker","Dryobates pubescens/villosus",0.34
"Empidonax sp.","Empidonax sp.",0.34
"Lesser Yellowlegs","Tringa flavipes",0.34
"Olive-sided Flycatcher","Contopus cooperi",0.34
"Lesser Black-backed Gull","Larus fuscus",0.33
"Northern Waterthrush","Parkesia noveboracensis",0.33
"Philadelphia Vireo","Vireo philadelphicus",0.33
"Black-bellied Plover","Pluvialis squatarola",0.31
"Black-billed Cuckoo","Coccyzus erythropthalmus",0.3
"Atlantic Puffin","Fratercula arctica",0.29
"Rough-legged Hawk","Buteo lagopus",0.29
"American Wigeon","Mareca americana",0.28
"Caspian Tern","Hydroprogne caspia",0.28
"Horned Lark","Eremophila alpestris",0.28
"Nelson's Sparrow","Ammospiza nelsoni",0.28
"Warbling Vireo","Vireo gilvus",0.28
"Thick-billed Murre","Uria lomvia",0.27
"Mallard x American Black Duck (hybrid)","Anas platyrhynchos x rubripes",0.26
"Ring-necked Duck","Aythya collaris",0.26
"American Goshawk","Accipiter atricapillus",0.25
"Brown Thrasher","Toxostoma rufum",0.25
"Cliff Swallow","Petrochelidon pyrrhonota",0.25
"Northern Mockingbird","Mimus polyglottos",0.25
"Solitary Sandpiper","Tringa solitaria",0.25
"Spruce Grouse","Canachites canadensis",0.25
"large alcid sp.","Alca/Uria sp.",0.25
"Iceland Gull","Larus glaucoides",0.24
"Catharus sp.","Catharus sp.",0.23
"Northern Pintail","Anas acuta",0.23
"Surf/Black Scoter","Melanitta perspicillata/americana",0.23
"loon sp.","Gavia sp.",0.22
"Indigo Bunting","Passerina cyanea",0.21
"Snowy Egret","Egretta thula",0.21
"Accipiter sp.","Accipiter sp.",0.2
