"common.name","scientific.name","subspecies","iconic.taxon.name","observed.on","year","month","quality.grade","latitude","longitude","user.login","id","time.observed.at","user.id","license","url","image.url","sound.url","tag.list","description","num.identification.agreements","num.identification.disagreements","captive.cultivated","oauth.application.id","place.guess","positional.accuracy","coordinates.obscured","species.guess","full.scientific.name","taxon.id","kingdom","phylum","class","order","family","genus","OBJECTID.1","park"
"Pickerel Frog","Lithobates palustris","","Amphibia","2017-08-25",2017,8,"research",45.8727999641,-68.681974411,"emmakaminsky",7680282,"2017-08-25 20:35:00 UTC",185467,"CC-BY-NC","https://www.inaturalist.org/observations/7680282","https://inaturalist-open-data.s3.amazonaws.com/photos/10059851/medium.jpg","","","3 of this species seen in a small stream on a trail beginning between the gate and mile 1 of the loop road and ending at Deasey Ponds (Stop 1 on the Katahdin Woods and Waters Loop Road Interpretive Map) in Katahdin Woods and Waters National Monument. ",2,0,"false",NA,"Penobscot County, ME, USA",161,"false","Pickerel Frog","Lithobates palustris",66002,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",423,"KAWW"
"Common Garter Snake","Thamnophis sirtalis","","Reptilia","2017-08-26",2017,8,"research",45.9349155398,-68.7524414063,"emmakaminsky",7680283,"2017-08-26 17:03:00 UTC",185467,"CC-BY-NC","https://www.inaturalist.org/observations/7680283","https://inaturalist-open-data.s3.amazonaws.com/photos/10059871/medium.jpg","","","Seen at the top of Barnard Mountain in Katahdin Woods and Waters National Monument.",5,0,"false",NA,"Penobscot County, ME, USA",780,"false","Common Garter Snake","Thamnophis sirtalis",28362,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Thamnophis",423,"KAWW"
"Viceroy","Limenitis archippus","","Insecta","2017-08-26",2017,8,"research",45.929901147,-68.7575912697,"emmakaminsky",7680284,"2017-08-26 17:55:00 UTC",185467,"CC-BY-NC","https://www.inaturalist.org/observations/7680284","https://inaturalist-open-data.s3.amazonaws.com/photos/10059877/medium.jpg","","","Seen on the IAT portion of the Barnard Mountain trail in Katahdin Woods and Waters National Monument. ",5,0,"false",NA,"Penobscot County, ME, USA",700,"false","Viceroy","Limenitis archippus",58586,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",423,"KAWW"
"partridgeberry","Mitchella repens","","Plantae","2017-10-04",2017,10,"research",45.9441027778,-68.6434861111,"david8266",8441164,"2017-10-04 16:04:00 UTC",673068,"CC-BY-NC","https://www.inaturalist.org/observations/8441164","https://inaturalist-open-data.s3.amazonaws.com/photos/11244193/medium.jpeg","","","",2,0,"false",NA,"Penobscot County, ME, USA",NA,"false","partridgeberry","Mitchella repens",83799,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Mitchella",423,"KAWW"
"buttercups","","","Plantae","2018-06-16",2018,6,"needs_id",45.86655,-68.6785466667,"davidsarkozi",13501110,"2018-06-16 13:06:17 UTC",323533,"CC-BY-NC","https://www.inaturalist.org/observations/13501110","https://inaturalist-open-data.s3.amazonaws.com/photos/19830372/medium.jpg","","","",1,0,"false",3,"Swift Brook Rd, Stacyville, ME, US",NA,"false","buttercups","Ranunculus",48230,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus",423,"KAWW"
"Palm Warbler","Setophaga palmarum","","Aves","2018-06-16",2018,6,"research",45.8690983333,-68.7074916667,"davidsarkozi",13501115,"2018-06-16 13:21:44 UTC",323533,"CC-BY-NC","https://www.inaturalist.org/observations/13501115","https://inaturalist-open-data.s3.amazonaws.com/photos/19830382/medium.jpg","","","",1,0,"false",3,"Stacyville, ME  04777, Stacyville, ME, US",0,"false","Palm Warbler","Setophaga palmarum",145242,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga",423,"KAWW"
"Chalk-fronted Corporal","Ladona julia","","Insecta","2018-06-16",2018,6,"research",45.868545,-68.70836,"davidsarkozi",13501132,"2018-06-16 13:36:34 UTC",323533,"CC-BY-NC","https://www.inaturalist.org/observations/13501132","https://inaturalist-open-data.s3.amazonaws.com/photos/19830416/medium.jpg","","","",2,0,"false",3,"Stacyville, ME  04777, Stacyville, ME, US",0,"false","Chalk-fronted Corporal","Ladona julia",57458,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Ladona",423,"KAWW"
"orange hawkweed","Pilosella aurantiaca","","Plantae","2018-06-16",2018,6,"research",45.8688116667,-68.708265,"davidsarkozi",13501170,"2018-06-16 13:39:59 UTC",323533,"CC-BY-NC","https://www.inaturalist.org/observations/13501170","https://inaturalist-open-data.s3.amazonaws.com/photos/19830464/medium.jpg","","","",1,0,"false",3,"Stacyville, ME  04777, Stacyville, ME, US",0,"false","fox-and-cubs","Pilosella aurantiaca",711103,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pilosella",423,"KAWW"
"Chalk-fronted Corporal","Ladona julia","","Insecta","2018-06-29",2018,6,"research",46.0331562867,-68.5828091571,"meganhess",14039096,"2018-06-29 17:21:50 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/14039096","https://inaturalist-open-data.s3.amazonaws.com/photos/20776323/medium.jpg","","","",3,0,"false",3,"04777, Stacyville, ME, US",178,"false","Chalk-fronted Corporal","Ladona julia",57458,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Ladona",423,"KAWW"
"","","","Insecta","2018-06-29",2018,6,"research",46.0331555663,-68.5827481396,"meganhess",14039115,"2018-06-29 17:30:09 UTC",657189,"CC-BY-NC","https://www.inaturalist.org/observations/14039115","https://inaturalist-open-data.s3.amazonaws.com/photos/20776369/medium.jpg","","","",2,0,"false",3,"04777, Stacyville, ME, US",101,"false","Dytiscus","Dytiscus",88070,"Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Dytiscus",423,"KAWW"
