scientific.name,status,kingdom,phylum,class,order,family,genus,specificEpithet,present
Ranunculus recurvatus,rare/native,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,recurvatus,Y
Rhexia virginica,rare/native,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Rhexia,virginica,Y
Rhodiola rosea,rare/native,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Rhodiola,rosea,Y
Rhynchospora capitellata,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Rhynchospora,capitellata,Y
Rubus chamaemorus,rare/native,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,chamaemorus,Y
Rubus dalibarda,rare/native,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,dalibarda,Y
Senega sanguinea,rare/native,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Senega,sanguinea,Y
Solidago flexicaulis,rare/native,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago,flexicaulis,Y
Sorghastrum nutans,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Sorghastrum,nutans,Y
Sparganium emersum,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Sparganium,emersum,Y
Spergularia canadensis,rare/native,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Spergularia,canadensis,Y
Spergularia marina,rare/native,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Spergularia,marina,Y
Spinulum annotinum,rare/native,Plantae,Tracheophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Spinulum,annotinum,Y
Spiranthes cernua,rare/native,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes,cernua,Y
Suaeda calceoliformis,rare/native,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Suaeda,calceoliformis,Y
Symplocarpus foetidus,rare/native,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Symplocarpus,foetidus,Y
Taxus canadensis,rare/native,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,canadensis,Y
Teucrium canadense,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,canadense,Y
Toxicodendron radicans,rare/native,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,radicans,Y
Toxicodendron rydbergii,rare/native,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,rydbergii,Y
Trichophorum cespitosum,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Trichophorum,cespitosum,Y
Trillium cernuum,rare/native,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,cernuum,Y
Trillium undulatum,rare/native,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium,undulatum,Y
Tsuga canadensis,rare/native,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Tsuga,canadensis,Y
Typha latifolia,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,latifolia,Y
Ursus americanus,rare/native,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,americanus,Y
Uvularia sessilifolia,rare/native,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Uvularia,sessilifolia,Y
Verbena hastata,rare/native,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbena,hastata,Y
Viburnum dentatum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,dentatum,Y
Viburnum recognitum,rare/native,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,recognitum,Y
Woodsia ilvensis,rare/native,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,ilvensis,Y
Woodwardia virginica,rare/native,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Woodwardia,virginica,Y
Xyris difformis,rare/native,Plantae,Tracheophyta,Liliopsida,Poales,Xyridaceae,Xyris,difformis,Y
