"scientific.name","status","category","subcategory","present","kingdom","phylum","class","order","family","genus","specificEpithet"
"Phegopteris hexagonoptera","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Phegopteris","hexagonoptera"
"Pinus banksiana","rare/native","species of interest","native tree","Y","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","banksiana"
"Piptatheropsis canadensis","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Piptatheropsis","canadensis"
"Sibbaldiopsis tridentata","rare/native","species of interest","native species","Y","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Sibbaldiopsis","tridentata"
"Tilia americana","rare/native","species of interest","native species","Y","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Tilia","americana"
"Toxicodendron radicans","rare/native","species of interest","human health issue","Y","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Toxicodendron","radicans"
"Toxicodendron rydbergii","rare/native","species of interest","human health issue","Y","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Toxicodendron","rydbergii"
"Tsuga canadensis","rare/native","species of interest","forest health concern","Y","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Tsuga","canadensis"
"Typha latifolia","rare/native","species of interest","native plant","Y","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha","latifolia"
"Ulmus americana","rare/native","species of interest","native species","Y","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","Ulmus","americana"
"Vaccinium angustifolium","rare/native","species of interest","native species","Y","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","angustifolium"
"Woodsia glabella","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Woodsiaceae","Woodsia","glabella"
