"scientific.name","status","category","subcategory","present","kingdom","phylum","class","order","family","genus","specificEpithet"
"Oeneis polixenes","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","polixenes"
"Ophiogomphus colubrinus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus","colubrinus"
"Pedicularis furbishiae","federal/state TE","federal/state TE","federal/state TE","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","furbishiae"
"Phanogomphus quadricolor","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Phanogomphus","quadricolor"
"Platanthera leucophaea","federal/state TE","federal/state TE","federal/state TE","N","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Platanthera","leucophaea"
"Salmo salar","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salmo","salar"
"Satyrium edwardsii","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","edwardsii"
"Siphlonisca aerodromia","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Ephemeroptera","Siphlonuridae","Siphlonisca","aerodromia"
"Sterna dougallii","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","dougallii"
"Sterna paradisaea","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","paradisaea"
"Sternula antillarum","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","antillarum"
"Sylvilagus transitionalis","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","transitionalis"
"Terrapene carolina","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Testudines","Emydidae","Terrapene","carolina"
"Tharsalea dorcas","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Tharsalea","dorcas"
"Vertigo morsei","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Mollusca","Gastropoda","Stylommatophora","Vertiginidae","Vertigo","morsei"
"Williamsonia lintneri","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Williamsonia","lintneri"
"Zanclognatha martha","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zanclognatha","martha"
"Acer ginnala","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","ginnala"
"Acer platanoides","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","platanoides"
"Achillea ptarmica","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","ptarmica"
"Adelges piceae","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","piceae"
"Adelges tsugae","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","tsugae"
"Aegopodium podagraria","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Aegopodium","podagraria"
"Agrilus planipennis","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Agrilus","planipennis"
"Ailanthus altissima","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","Ailanthus","altissima"
"Akebia quinata","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Lardizabalaceae","Akebia","quinata"
"Alliaria petiolata","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","petiolata"
"Alnus glutinosa","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","glutinosa"
"Amorpha fruticosa","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","fruticosa"
"Ampelopsis glandulosa","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Ampelopsis","glandulosa"
"Amynthas agrestis","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","agrestis"
"Amynthas corticis","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","corticis"
"Amynthas diffringens","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","diffringens"
"Amynthas gracilis","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","gracilis"
"Amynthas sexpectatus","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","sexpectatus"
"Amynthas tokioensis","invasive/disease","pest disease","pest","N","Animalia","Annelida","Clitellata","Crassiclitellata","Megascolecidae","Amynthas","tokioensis"
"Anoplophora glabripennis","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Anoplophora","glabripennis"
"Anthriscus sylvestris","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Anthriscus","sylvestris"
"Berberis thunbergii","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","thunbergii"
"Berberis vulgaris","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","Berberis","vulgaris"
"Bretziella fagacearum","invasive/disease","pest disease","disease","N","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Bretziella","fagacearum"
"Butomus umbellatus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Alismatales","Butomaceae","Butomus","umbellatus"
"Calluna vulgaris","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Calluna","vulgaris"
"Cardamine impatiens","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","impatiens"
"Celastrus orbiculatus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Celastrus","orbiculatus"
"Centaurea nigrescens","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","nigrescens"
"Centaurea stoebe","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","stoebe"
"Choristoneura fumiferana","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Choristoneura","fumiferana"
"Cirsium arvense","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","arvense"
"Cirsium vulgare","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","vulgare"
"Digitalis purpurea","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Digitalis","purpurea"
"Dioscorea polystachya","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","Dioscorea","polystachya"
"Elaeagnus umbellata","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","Elaeagnus","umbellata"
"Epipactis helleborine","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Epipactis","helleborine"
"Euonymus alatus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Euonymus","alatus"
"Euphorbia cyparissias","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","cyparissias"
"Euproctis chrysorrhoea","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euproctis","chrysorrhoea"
"Fiorinia externa","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Hemiptera","Diaspididae","Fiorinia","externa"
"Frangula alnus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Frangula","alnus"
"Galeopsis bifida","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Galeopsis","bifida"
"Genista tinctoria","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Genista","tinctoria"
"Heracleum mantegazzianum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","mantegazzianum"
"Hylotelephium telephium","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","Hylotelephium","telephium"
"Hypericum prolificum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","prolificum"
"Impatiens glandulifera","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","glandulifera"
"Iris pseudacorus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Iris","pseudacorus"
"Jacobaea vulgaris","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Jacobaea","vulgaris"
"Lepidium latifolium","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium","latifolium"
"Ligustrum obtusifolium","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","obtusifolium"
"Ligustrum ovalifolium","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","ovalifolium"
"Ligustrum sinense","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","sinense"
"Ligustrum vulgare","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","vulgare"
"Litylenchus crenatae","invasive/disease","pest disease","pest","N","Animalia","Nematoda","Chromadorea","Rhabditida","Anguinidae","Litylenchus","crenatae"
"Lonicera japonica","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","japonica"
"Lonicera maackii","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","maackii"
"Lonicera morrowii","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","morrowii"
"Lonicera periclymenum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","periclymenum"
"Lonicera tatarica","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Lonicera","tatarica"
"Lotus corniculatus","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lotus","corniculatus"
"Lupinus polyphyllus","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","polyphyllus"
"Lythrum salicaria","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lythrum","salicaria"
"Matsucoccus matsumurae","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Hemiptera","Matsucoccidae","Matsucoccus","matsumurae"
"Microstegium vimineum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Microstegium","vimineum"
"Operophtera brumata","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Operophtera","brumata"
"Oplismenus hirtellus","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Oplismenus","hirtellus"
"Persicaria perfoliata","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","perfoliata"
"Phellodendron amurense","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","Phellodendron","amurense"
"Phragmites australis","invasive/disease","invasive not established","invasive","Y","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Phragmites","australis"
"Populus alba","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","alba"
"Potentilla recta","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","recta"
"Pyrrhalta viburni","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Pyrrhalta","viburni"
"Reynoutria japonica","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Reynoutria","japonica"
"Rhamnus cathartica","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","cathartica"
"Rosa multiflora","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rosa","multiflora"
"Rubus phoenicolasius","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","phoenicolasius"
"Securigera varia","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Securigera","varia"
"Sisymbrium officinale","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Sisymbrium","officinale"
"Solanum dulcamara","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","dulcamara"
"Tetropium castaneum","invasive/disease","pest disease","pest","N","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Tetropium","castaneum"
"Trifolium hybridum","invasive/disease","invasive not established","invasive","U","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","hybridum"
"Tussilago farfara","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tussilago","farfara"
"Typha angustifolia","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","Typha","angustifolia"
"Verbascum thapsus","invasive/disease","invasive established","invasive","Y","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","Verbascum","thapsus"
"Vincetoxicum nigrum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Vincetoxicum","nigrum"
"Vincetoxicum rossicum","invasive/disease","invasive not established","invasive","N","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Vincetoxicum","rossicum"
"Acer saccharinum","rare/native","species of interest","native species","Y","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","saccharinum"
"Allium tricoccum","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","tricoccum"
"Asarum canadense","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","Asarum","canadense"
"Asclepias incarnata","rare/native","species of interest","native wildflower","Y","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","incarnata"
"Asclepias syriaca","rare/native","species of interest","native wildflower","Y","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","syriaca"
"Carex adusta","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","adusta"
"Carex hirtifolia","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","hirtifolia"
"Carex oronensis","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","oronensis"
"Cicuta maculata","rare/native","species of interest","human health issue","U","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Cicuta","maculata"
"Clematis occidentalis","rare/native","species of interest","rare native","Y","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Clematis","occidentalis"
"Cryptogramma stelleri","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Cryptogramma","stelleri"
"Cypripedium acaule","rare/native","species of interest","native wildflower","Y","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cypripedium","acaule"
"Dicentra canadensis","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","Dicentra","canadensis"
"Draba arabisans","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Draba","arabisans"
"Dryopteris filix-mas","rare/native","species of interest","rare native","U","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Dryopteris","filix-mas"
